ISO;Country;Subject Descriptor;Units;Scale;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;Estimates Start After
AFG;Afghanistan;Gross domestic product, constant prices;National currency;Billions;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;453.484;492.903;496.209;554.910;584.658;662.650;688.247;829.924;899.956;958.266;1,092.118;1,154.178;1,185.306;1,197.012;1,222.917;1,255.288;1,270.216;1,319.902;1,288.869;1,021.595;n/a;2021
AFG;Afghanistan;Gross domestic product, constant prices;Percent change;;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;8.692;0.671;11.830;5.361;13.340;3.863;20.585;8.438;6.479;13.968;5.683;2.697;0.988;2.164;2.647;1.189;3.912;-2.351;-20.737;n/a;2021
AFG;Afghanistan;Gross domestic product per capita, constant prices;National currency;Units;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;24,240.972;25,307.035;24,519.477;26,491.217;27,072.434;29,547.735;29,927.645;35,172.942;37,083.165;38,282.435;42,225.016;43,169.344;42,944.602;42,110.882;41,880.715;42,265.573;40,196.701;40,990.732;39,127.076;30,315.970;n/a;2021
AFG;Afghanistan;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;1,442.769;1,506.218;1,459.345;1,576.698;1,611.291;1,758.615;1,781.227;2,093.415;2,207.108;2,278.485;2,513.139;2,569.343;2,555.967;2,506.346;2,492.647;2,515.553;2,392.418;2,439.677;2,328.757;1,804.339;n/a;2021
AFG;Afghanistan;Inflation, average consumer prices;Index;;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;31.263;42.413;49.351;54.566;58.269;63.327;80.057;74.604;76.229;85.227;90.717;97.417;101.970;101.296;105.736;110.998;111.693;114.264;120.671;126.859;144.250;2022
AFG;Afghanistan;Inflation, average consumer prices;Percent change;;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;35.663;16.358;10.569;6.785;8.681;26.419;-6.811;2.179;11.804;6.441;7.386;4.674;-0.662;4.384;4.976;0.626;2.302;5.607;5.128;13.709;2022
AFG;Afghanistan;Inflation, end of period consumer prices;Index;;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;42.890;45.691;51.752;57.219;59.671;69.273;82.306;74.211;81.814;89.433;94.687;101.543;103.053;104.218;109.000;112.315;113.162;116.300;122.100;137.516;144.727;2022
AFG;Afghanistan;Inflation, end of period consumer prices;Percent change;;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;6.530;13.266;10.562;4.285;16.092;18.814;-9.836;10.246;9.312;5.875;7.241;1.487;1.131;4.588;3.041;0.755;2.773;4.987;12.626;5.243;2022
AFG;Afghanistan;Unemployment rate;Percent of total labor force;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AFG;Afghanistan;Population;Persons;Millions;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;18.707;19.477;20.237;20.947;21.596;22.426;22.997;23.596;24.269;25.031;25.864;26.736;27.601;28.425;29.200;29.700;31.600;32.200;32.941;33.698;34.263;2022
