Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,42.1158091516,47.7696967007,46.3121591792,46.2867270003,55.4230855657,60.5305390642,68.242261989,76.1580546243,89.1842452007,86.447729733,96.8481585959,111.8681120407,108.5560783553,106.1629003978,105.2251751028,100,101.4994408985,108.1369530676,112.1757131076,115.1955132374,121.7412561112,140.1260159508,..
Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40.3770594578,38.5992181582,37.3955957332,44.2440680738,49.2684118148,48.3617595611,80.4333585888,85.3960169636,94.0203415733,89.9534904566,98.8830871971,105.3241122768,105.8673030407,106.2174615006,106.9912725018,100,101.8744329527,103.1276239436,108.8455551618,105.9404578336,105.0733501856,124.0888044793,..
Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,72.1667014721,71.358654091,70.8605628732,72.445012645,76.8926792204,80.7550342273,85.4477833231,91.2980857331,104.2264420057,94.773888608,105.1630029106,120.379147612,118.504414392,116.15353408,113.5265739174,100,97.7778190411,103.2283414513,109.1212137718,107.110862577,106.3864145463,125.5719405761,..
Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,61.8082010789,65.0612642936,53.9079047004,49.2606715366,47.401778271,45.5428850055,27.4186756666,30.2070155649,28.8128456157,30.2070155649,40.8956518417,38.1073119434,33.4600787795,30.2070155649,28.8128456157,30.6717388812,35.7836953615,34.8542487287,25.559782401,29.2775689321,46.4723316383,45.6222486271,43.2955139469,53.0370045616,69.4254389932,93.0300882518,112.6594368688,128.3190986088,172.2042303144,110.2107074291,143.2739196532,189.8379435254,194.5838921008,186.8005364205,174.3861606575,100,78.5036239259,95.7673987416,120.8071030055,108.9015444831,77.7513429265,139.400494774,..
Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,79.0458939274,77.6787055381,77.0082516088,78.3972309038,79.4698232222,86.1227121895,98.4918274253,102.0870091354,106.8029565694,104.3389970902,105.0691624301,108.5095373416,107.3046353263,104.7032347991,103.7451825184,100,98.0194511393,99.221773729,107.4227150312,106.6762113793,110.0042257935,114.5411817053,..
Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34.4727593317,31.7368260514,33.9255726757,35.0199459878,40.4918125484,44.8693057969,52.5299189817,26.2649594908,31.7368260514,26.2649594908,34.4727593317,49.2467990453,37.7558792681,23.5290262106,34.4727593317,54.7186656059,48.0862834627,48.7365954276,56.2461090309,71.0950817985,98.9643538788,117.569652399,133.794264458,175.5380749312,115.3285152242,144.3913010988,203.5917345236,206.0348353383,199.2356857938,186.8216040713,100,84.1183737845,107.9334698355,140.7855677348,127.5790570274,81.8956993988,132.6564124602,..
Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,102.117636559,91.4243459598,91.2906966539,90.9452108873,93.0233625694,92.4469016793,102.045353652,113.9578021547,139.5821311694,137.4556466789,138.9041868852,159.8360723349,158.358407668,133.1182961587,129.1162854563,100,92.9281535177,97.1461158173,100.046578264,94.0933052123,87.0490361186,113.5913912079,..
Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45.9083690525,42.6677782959,36.726695242,39.4271875392,38.8870890798,43.2078767553,45.3682705931,44.8281721336,42.1276798364,41.0474829176,40.5073844581,50.2291567281,52.3895505658,52.9296490253,57.2504367008,58.8707320791,62.6514212952,58.8707320791,53.4697474847,49.1489598092,54.0098459441,51.4213117206,49.452120045,55.0738446621,63.4270287157,66.3808162264,73.1618230836,82.8172144984,104.7165316433,93.4730824091,101.095759856,119.739558463,122.6615848356,120.914721272,117.9291725693,100,95.1564236426,96.6174368559,102.191519766,95.9504525793,93.2666349039,116.6428457771,..
Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,56.7238119592,55.3096289299,54.7636620753,57.6856458166,66.2619539534,69.7906148937,84.235380066,91.3442309918,106.8102723788,95.7734713899,115.6397144404,129.2099276491,121.7112737505,114.8300317715,111.9227831409,100,97.5043842175,109.5595855237,116.4146263202,114.2303974917,116.7984929758,147.1525447337,..
Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45.0425562815,41.2587871997,39.2210705206,46.3743122918,58.9757346664,85.7317642723,101.6256092783,111.8509098342,146.5975939637,95.8427122277,111.4687035651,149.9867560696,153.3246837092,160.6372061074,153.783684699,100,93.5559997479,104.7702833616,111.7285123628,108.2015671942,84.7101331536,112.737176135,..
